STATE,zipcode,N1,A00100,A19700,N19700,generosity_index,participation_rate
AK,99501,7560.0,712828.0,5590.0,370.0,0.007842003961685006,0.04894179894179894
AK,99502,11800.0,1155859.0,9607.0,670.0,0.008311567414364555,0.05677966101694915
AK,99503,7140.0,520017.0,4253.0,250.0,0.008178578777232283,0.0350140056022409
AK,99504,19030.0,1333162.0,9888.0,700.0,0.007416953078470584,0.03678402522333158
AK,99507,18340.0,1748530.0,19204.0,990.0,0.010982939955276718,0.0539803707742639
AK,99508,14910.0,1002942.0,5762.0,460.0,0.00574509792191373,0.03085177733065057
AK,99515,11140.0,1239412.0,9071.0,760.0,0.007318793105117588,0.06822262118491922
AK,99516,10140.0,1787265.0,26909.0,1420.0,0.015055965399646947,0.14003944773175542
AK,99517,7880.0,807792.0,5659.0,450.0,0.007005516271515439,0.05710659898477157
AK,99518,5280.0,442223.0,2459.0,190.0,0.005560542983969626,0.03598484848484849
AK,99556,1270.0,86737.0,364.0,30.0,0.004196594302316197,0.023622047244094488
AK,99559,2800.0,208134.0,1385.0,60.0,0.006654366898248244,0.02142857142857143
AK,99567,4150.0,416414.0,3564.0,240.0,0.008558790050286494,0.05783132530120482
AK,99577,13260.0,1447264.0,13970.0,960.0,0.009652696398169236,0.07239819004524888
AK,99603,5980.0,522721.0,4743.0,240.0,0.009073674101480522,0.04013377926421405
AK,99610,1140.0,87800.0,278.0,30.0,0.0031662870159453304,0.02631578947368421
AK,99611,6710.0,556294.0,4850.0,250.0,0.00871841148745088,0.037257824143070044
AK,99615,5890.0,470868.0,3045.0,240.0,0.0064667804989933485,0.04074702886247878
AK,99645,14430.0,1357498.0,11688.0,640.0,0.00860995743640138,0.04435204435204435
AK,99654,16880.0,1494692.0,10210.0,660.0,0.006830838727978741,0.03909952606635071
AK,99664,2280.0,180892.0,1288.0,50.0,0.007120270658735599,0.021929824561403508
AK,99669,8070.0,756590.0,8284.0,320.0,0.010949127004057679,0.03965303593556382
AK,99672,1780.0,162254.0,593.0,60.0,0.003654763518927114,0.033707865168539325
AK,99686,1830.0,170930.0,490.0,40.0,0.0028666705668987306,0.02185792349726776
AK,99688,1450.0,110405.0,726.0,40.0,0.006575789139984602,0.027586206896551724
AK,99701,8080.0,569017.0,3176.0,180.0,0.005581555559851463,0.022277227722772276
AK,99705,9500.0,765941.0,4031.0,250.0,0.005262807448615494,0.02631578947368421
AK,99709,11010.0,1068985.0,9040.0,370.0,0.008456620064827851,0.03360581289736603
AK,99712,4350.0,431365.0,3785.0,190.0,0.008774471735073546,0.04367816091954023
AK,99737,1930.0,152814.0,1720.0,50.0,0.011255513238315862,0.025906735751295335
AK,99801,12510.0,1148930.0,7002.0,510.0,0.006094366062336261,0.0407673860911271
AK,99824,1080.0,97403.0,225.0,40.0,0.002309990452039465,0.037037037037037035
AK,99827,1250.0,105302.0,1010.0,30.0,0.009591460750982887,0.024
AK,99833,1660.0,149850.0,994.0,50.0,0.0066332999666333,0.030120481927710843
AK,99835,4500.0,402627.0,2286.0,120.0,0.005677711628877348,0.02666666666666667
AK,99901,6130.0,553760.0,2849.0,210.0,0.005144828084368679,0.03425774877650897
AL,35004,5410.0,373800.0,4195.0,330.0,0.011222578919208132,0.06099815157116451
AL,35005,3290.0,149625.0,1476.0,140.0,0.009864661654135338,0.0425531914893617
AL,35006,1260.0,81364.0,344.0,30.0,0.004227914065188535,0.023809523809523808
AL,35007,12540.0,859156.0,10066.0,810.0,0.011716149337256563,0.0645933014354067
AL,35010,8000.0,528992.0,7380.0,400.0,0.013951061641763959,0.05
AL,35014,1620.0,98465.0,1835.0,100.0,0.01863606357588991,0.06172839506172839
